id,racun_id,znesek,datum
932,758,560.36,2022-03-30
933,120,921.15,2022-07-18
934,85,661.99,2022-03-08
935,618,792.49,2022-01-15
936,295,206.11,2023-11-07
937,257,79.66,2022-11-01
938,584,375.56,2022-01-28
939,874,84.98,2022-01-22
940,592,714.82,2022-12-12
941,200,769.03,2023-08-04
942,726,828.2,2023-03-02
943,684,327.92,2022-11-30
944,99,661.68,2023-09-12
945,387,230.91,2023-01-17
946,576,386.98,2023-10-11
947,929,383.62,2023-10-06
948,104,853.05,2022-10-02
949,142,87.69,2023-06-21
950,988,600.49,2023-02-09
951,790,588.14,2022-02-15
952,257,332.13,2023-12-22
953,450,445.78,2022-05-17
954,1000,4.75,2022-10-11
955,427,868.79,2022-10-02
956,247,851.47,2023-04-12
957,135,94.03,2023-01-31
958,756,887.99,2022-04-26
959,955,804.21,2023-12-12
960,614,554.46,2023-03-22
961,72,552.24,2023-03-09
962,660,569.82,2023-06-20
963,380,683.5,2022-09-06
964,88,611.99,2022-05-07
965,188,899.8,2023-06-13
966,561,696.07,2022-08-08
967,73,764.45,2022-02-12
968,370,430.25,2022-04-14
969,390,971.05,2023-05-30
970,381,790.98,2023-09-15
971,788,676.64,2022-10-29
972,250,315.51,2022-06-03
973,475,817.6,2022-09-21
974,428,920.14,2023-11-30
975,497,221.6,2023-07-08
976,674,973.44,2023-08-29
977,357,726.98,2022-03-21
978,397,709.08,2022-03-12
979,752,268.16,2023-08-12
980,615,682.49,2023-05-05
981,527,450.95,2023-07-25
982,284,519.08,2023-02-25
983,845,428.55,2022-08-16
984,281,534.78,2023-08-06
985,645,690.51,2023-07-25
986,348,613.4,2022-04-24
987,143,486.68,2022-08-15
988,207,664.7,2023-02-13
989,941,252.62,2022-09-29
990,457,270.42,2022-02-01
991,827,670.6,2022-02-21
992,354,273.22,2023-06-04
993,61,751.29,2022-06-07
994,537,48.97,2023-06-06
995,938,892.93,2023-10-12
996,103,126.71,2023-06-08
997,876,761.13,2022-08-23
998,383,651.43,2023-04-05
999,811,471.38,2022-12-26
1000,456,164.59,2022-10-30
